epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.857,1.35411,1.73652,1.19037,0.75163,0.68354,0.68751,0.49663,0.88105,1.48809,1.37311,0.00055377,0.00055377,0.00055377
2,204.435,1.30355,1.10042,1.17342,0.7581,0.67107,0.69686,0.47272,0.98929,0.96237,1.50543,0.000999603,0.000999603,0.000999603
3,301.406,1.28401,0.95767,1.15672,0.80136,0.73115,0.73304,0.53138,0.91124,0.78848,1.28499,0.00133541,0.00133541,0.00133541
4,400.022,1.23736,0.84264,1.13366,0.803,0.73891,0.75451,0.54032,0.88666,0.69876,1.20762,0.0011719,0.0011719,0.0011719
5,506.667,1.20768,0.78974,1.10979,0.83596,0.77506,0.78485,0.58146,0.77384,0.6397,1.08638,0.00100687,0.00100687,0.00100687
6,604.235,1.15222,0.72678,1.08193,0.82543,0.76674,0.77729,0.56904,0.80945,0.6336,1.1151,0.000841835,0.000841835,0.000841835
7,703.038,1.13546,0.70077,1.06669,0.86957,0.78438,0.81966,0.60028,0.74855,0.55176,1.04126,0.000676802,0.000676802,0.000676802
8,801.447,1.08886,0.64984,1.04378,0.86037,0.80565,0.82932,0.61676,0.72615,0.62708,1.03678,0.000511769,0.000511769,0.000511769
9,900.093,1.04479,0.6113,1.02406,0.878,0.81434,0.84912,0.64059,0.68726,0.53907,0.97708,0.000346736,0.000346736,0.000346736
10,996.93,1.03494,0.59003,1.01393,0.88787,0.81798,0.85519,0.64083,0.69617,0.51916,0.95903,0.000181703,0.000181703,0.000181703
